total cpu usage,,,,,dsk/total,,net/total,,paging,,system,,system
usr,sys,idl,wai,stl,read,writ,recv,send,in,out,int,csw,time
1.551,0.547,97.81,0.092,0,2543744.52,2238074.691,0,0,0,0,4039.727,3854.689,27-08 10:53:30
0.316,0.379,99.306,0,0,0,0,7932,0,0,0,6709,2050,27-08 10:53:31
0.502,0.376,98.934,0.188,0,32768,0,4280,0,0,0,1307,1343,27-08 10:53:32
14.14,28.217,57.389,0.255,0,1515520,524288,4073,0,0,0,9346,262330,27-08 10:53:33
14.952,29.649,55.399,0,0,0,0,11796,0,0,0,14004,266534,27-08 10:53:34
13.817,30.527,55.334,0.321,0,0,688128,9203,0,0,0,20874,266077,27-08 10:53:35
12.852,26.662,60.486,0,0,0,0,5980,0,0,0,18954,256478,27-08 10:53:36
14.725,27.721,57.554,0,0,0,0,5786,0,0,0,19869,281153,27-08 10:53:37
12.98,26.407,60.614,0,0,0,557056,5251,0,0,0,18103,270862,27-08 10:53:38
14.277,28.745,56.978,0,0,0,0,8347,0,0,0,20735,284618,27-08 10:53:39
13.595,27.126,59.278,0,0,0,0,21028,0,0,0,20497,274287,27-08 10:53:40
14.642,27.813,57.545,0,0,0,0,9160,0,0,0,21062,284389,27-08 10:53:41
14.959,28.899,56.143,0,0,0,0,14702,0,0,0,21458,280190,27-08 10:53:42
15.36,28.362,55.895,0.382,0,0,81920,18272,0,0,0,21303,280346,27-08 10:53:43
14.655,27.824,57.521,0,0,0,0,15140,0,0,0,19509,282270,27-08 10:53:44
13.937,27.039,59.024,0,0,0,0,17788,0,0,0,19918,280039,27-08 10:53:45
14.57,28.498,56.932,0,0,0,0,15364,0,0,0,21217,285281,27-08 10:53:46
13.61,28.371,58.019,0,0,0,0,8426,0,0,0,20421,280833,27-08 10:53:47
14.377,28.562,57.061,0,0,0,0,13706,0,0,0,20653,285206,27-08 10:53:48
15.735,26.975,57.29,0,0,0,0,18640,0,0,0,20666,270705,27-08 10:53:49
15.385,28.462,56.154,0,0,0,0,11683,0,0,0,19679,278926,27-08 10:53:50
14.066,27.232,58.703,0,0,0,0,8058,0,0,0,11783,275537,27-08 10:53:51
15.507,29.292,55.201,0,0,0,0,16764,0,0,0,19496,276837,27-08 10:53:52
13.91,26.154,59.936,0,0,0,0,16799,0,0,0,15841,273082,27-08 10:53:53
14.506,29.14,56.354,0,0,0,0,11607,0,0,0,16107,276713,27-08 10:53:54
14.971,29.111,55.918,0,0,0,0,13172,0,0,0,16352,284577,27-08 10:53:55
15.122,28.507,56.371,0,0,0,0,10041,0,0,0,13803,287479,27-08 10:53:56
13.93,28.562,57.508,0,0,0,0,8737,0,0,0,11113,285140,27-08 10:53:57
15.331,28.944,55.725,0,0,0,0,15553,0,0,0,10731,286411,27-08 10:53:58
14.885,28.499,56.616,0,0,0,0,116404,0,0,0,12028,283644,27-08 10:53:59
